DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLHIGHPOPON,PARTLOTHPOPON,PARTLDWON,PARTLECRESON,PARTLCNAVWON,PARTLSEGMILESTOTALON,PARTLECRESOFF,PARTLCNAVWOFF,PARTLSEGMILESTOTALOFF
3/1/2022,2018,20190514,16945,30709,HUNTSMAN PETROCHEMICAL LLC,HVL,INTRASTATE,TEXAS,1.13,0,0,0,0,1.13,,,
3/1/2022,2018,20190513,16944,30709,HUNTSMAN PETROCHEMICAL LLC,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,2.6,0,2.6,0,0,2.6,,,
3/1/2022,2018,20190223,16635,30711,HILCORP ENERGY COMPANY,Crude Oil,INTRASTATE,LOUISIANA,0,0,0,0,1,1,,,
3/1/2022,2018,20190159,16564,30755,CITGO PRODUCTS PIPELINE CO,HVL,INTERSTATE,LOUISIANA,4.016,4.807,3.169,1.245,0.489,7.936,,,
3/1/2022,2018,20190159,16564,30755,CITGO PRODUCTS PIPELINE CO,HVL,INTERSTATE,TEXAS,11.733,26.347,19.618,3.969,0.641,46.156,,,
3/1/2022,2018,20190160,16565,30755,CITGO PRODUCTS PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,19.296,55.435,19.763,33.642,0.821,107.727,,,
3/1/2022,2018,20190656,17112,30756,WYOMING REFINING CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,WYOMING,0,0.5,0,0,0.5,1,,,
3/1/2022,2018,20190431,16862,30777,MOTIVA ENTERPRISE LLC,HVL,INTRASTATE,TEXAS,4.02,18.3,13,0,0,35.32,,,
3/1/2022,2018,20190464,16895,30777,MOTIVA ENTERPRISE LLC,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,62.17,0,0,0,62.17,,,
3/1/2022,2018,20190068,16461,30781,OLYMPIC PIPE LINE COMPANY,Refined and/or Petroleum Product (non-HVL),INTERSTATE,OREGON,10.1,5.1,1.8,13.5,6.1,15.3,,,
3/1/2022,2018,20190068,16461,30781,OLYMPIC PIPE LINE COMPANY,Refined and/or Petroleum Product (non-HVL),INTERSTATE,WASHINGTON,190.7,204.7,185.6,173.6,96.2,324.2,,,
3/1/2022,2018,20190068,16461,30781,OLYMPIC PIPE LINE COMPANY,Refined and/or Petroleum Product (non-HVL),INTRASTATE,WASHINGTON,33.5,8.5,18.5,7.1,3.6,41.1,,,
