DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTIUNKWN,PARTIPRE20,PARTI192029,PARTI193039,PARTI194049,PARTI195059,PARTI196069,PARTI197079,PARTI198089,PARTI199099,PARTI200009,PARTI201019,PARTI202029,PARTITOTAL
3/1/2022,2019,20200089,18043,2714,"DOMINION ENERGY TRANSMISSION, INC.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,WEST VIRGINIA,0,0,0,0,0,0,0,0,0,27.187,0.052,1.88,,29.119
3/1/2022,2019,20200277,17503,2731,CHEVRON PIPE LINE CO,CO2,INTERSTATE,COLORADO,0,0,0,0,0,0,0,0,11.1,0,0,0,,11.1
3/1/2022,2019,20200277,17503,2731,CHEVRON PIPE LINE CO,CO2,INTERSTATE,UTAH,0,0,0,0,0,0,0,0,73.5,0,0,0,,73.5
3/1/2022,2019,20200277,17503,2731,CHEVRON PIPE LINE CO,CO2,INTERSTATE,WYOMING,0,0,0,0,0,0,0,0,44.4,0,0,0,,44.4
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,COLORADO,,0,0,0,10.9,4.7,0,,0,0,0,0,,15.6
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,LOUISIANA,2.4,0,0,0,0,0,154.3,4.8,0,0.7,11.9,18.5,,192.6
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,38.2,0,0,0,0,2.7,,40.9
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,OCS-Gulf of Mexico,10.9,0,0,0,0,0,0,25.1,0,0,0,151.3,,187.3
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTERSTATE,UTAH,0,0,0,0,160.3,172.4,0,0,0,0,11.7,0.1,,344.5
3/1/2022,2019,20200557,17801,2731,CHEVRON PIPE LINE CO,Crude Oil,INTRASTATE,CALIFORNIA,51.3,0,0,5,2.9,9.7,6.2,5.3,0,8,1.1,3.4,,92.9
3/1/2022,2019,20200296,17524,2731,CHEVRON PIPE LINE CO,HVL,INTRASTATE,LOUISIANA,0,0,0,0,0,0,0,18.2,0,0,0,0.3,,18.5
3/1/2022,2019,20200296,17524,2731,CHEVRON PIPE LINE CO,HVL,INTRASTATE,TEXAS,0,56.5,0.2,0,0.5,155.9,224.7,137.9,129.7,140.8,55.2,144.4,,1045.8
3/1/2022,2019,20200412,17650,2731,CHEVRON PIPE LINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,52.2,0,0,0,49.5,7.2,117,63.8,1.5,13.1,12.2,3.7,,320.2
3/1/2022,2019,20200412,17650,2731,CHEVRON PIPE LINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,UTAH,0,2.7,0,0,0,0,0,0,0,0,0,0,,2.7
3/1/2022,2019,20200065,18849,2767,"HARVEST ALASKA, LLC",Crude Oil,INTERSTATE,ALASKA,,,,,,,,,37.07,17.61,0.12,,,54.8
3/1/2022,2019,20200065,18849,2767,"HARVEST ALASKA, LLC",Crude Oil,INTRASTATE,ALASKA,,,,,,,35.31,25.29,0.26,,0,4.03,,64.89
3/1/2022,2019,20200315,17544,3345,DEVON ENERGY PRODUCTION CO. LP,CO2,INTRASTATE,WYOMING,,,,,,,,,,,46,0.51,,46.51
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,ALABAMA,0.192,0,0,0,0,0,248.958,0,0.187,0.988,2.392,0.472,,253.189
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,GEORGIA,0,0,0,0,0,0,355.293,4.89,0.023,0.681,1.071,0.109,,362.067
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,LOUISIANA,0,0,0,0,0,0,223.056,0.837,2.887,1.941,4.905,1.311,,234.937
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,120.596,0,1.159,0.448,0.935,0.192,,123.33
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,NORTH CAROLINA,0.113,0,0,0,0,0,75.119,0.662,12.488,0.032,0.741,0.298,,89.453
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,SOUTH CAROLINA,0.036,0,0,0,0,0,161.254,0.832,0.316,0.54,0.448,0.618,,164.044
3/1/2022,2019,20200309,17538,3445,DIXIE PIPELINE COMPANY LLC,HVL,INTERSTATE,TEXAS,0,0,0,0,0,0,75.058,0.12,0.148,0.92,2.815,0.02,,79.081
3/1/2022,2019,20200050,17260,3527,DOW PIPELINE CO,HVL,INTRASTATE,TEXAS,101.38,,0,0,104.58,10.24,34.6,107.66,0.83,4.04,1.22,116.21,,480.76
3/1/2022,2019,20200048,17258,3535,DOW PIPELINE CO,HVL,INTRASTATE,LOUISIANA,0.05,0,0,0,0,0,61.72,42.33,56.44,0,36.89,0,,197.43
3/1/2022,2019,20200188,17411,4280,EL PASO NATURAL GAS CO,Crude Oil,INTRASTATE,CALIFORNIA,,,,,,,,,122.41,,,,,122.41
3/1/2022,2019,20200574,17821,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Crude Oil,INTERSTATE,ILLINOIS,,,,,,,,,,,,0.627,,0.627
3/1/2022,2019,20200574,17821,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Crude Oil,INTERSTATE,TENNESSEE,,,,,,,,,,,,0.244,,0.244
3/1/2022,2019,20200574,17821,4430,VALERO TERMINALING AND DISTRIBUTION COMPANY,Crude Oil,INTERSTATE,TEXAS,,,,,,,,,,,,0.203,,0.203
