DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTPONCPB,PARTPONCPC,PARTPONCUB,PARTPONCUC,PARTPONCUP,PARTPONCUO,PARTPONTOTAL,PARTPOFFCPB,PARTPOFFCPC,PARTPOFFCUB,PARTPOFFCUC,PARTPOFFCUP,PARTPOFFCUO,PARTPOFFTOTAL,PARTPCPBTOTAL,PARTPCPCTOTAL,PARTPCUBTOTAL,PARTPCUCTOTAL,PARTPCUPTOTAL,PARTPCUOTOTAL,PARTPTOTMILES,PARTPOTHER
3/1/2022,2018,20190498,16929,26111,UNITED REFINING CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW YORK,0,1.85,0,0,0,0,1.85,0,0,0,0,0,0,0,0,1.85,0,0,0,0,1.85,
3/1/2022,2018,20190200,16611,26112,VALERO REFINING-TEXAS L.P.,Crude Oil,INTRASTATE,TEXAS,0,5.68,0,0,0,0,5.68,0,0,0,0,0,0,0,0,5.68,0,0,0,0,5.68,
3/1/2022,2018,20190202,16613,26112,VALERO REFINING-TEXAS L.P.,HVL,INTRASTATE,TEXAS,0,13.52,0,0,0,0,13.52,0,0,0,0,0,0,0,0,13.52,0,0,0,0,13.52,
3/1/2022,2018,20190201,16612,26112,VALERO REFINING-TEXAS L.P.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,0,31.79,0,0,0,0,31.79,0,0,0,0,0,0,0,0,31.79,0,0,0,0,31.79,
3/1/2022,2018,20190539,16970,26120,COLLINS PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,LOUISIANA,0.007,48.01,0,0,0,0,48.017,0,0,0,0,0,0,0,0.007,48.01,0,0,0,0,48.017,
3/1/2022,2018,20190539,16970,26120,COLLINS PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSISSIPPI,0,76.5,0,0,0,0,76.5,0,0,0,0,0,0,0,0,76.5,0,0,0,0,76.5,
3/1/2022,2018,20190264,16681,26125,CALNEV PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,CALIFORNIA,0,389.14,0,0,0,0,389.14,0,0,0,0,0,0,0,0,389.14,0,0,0,0,389.14,
3/1/2022,2018,20190264,16681,26125,CALNEV PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEVADA,0,115.76,0,0,0,0,115.76,0,0,0,0,0,0,0,0,115.76,0,0,0,0,115.76,
3/1/2022,2018,20190264,16681,26125,CALNEV PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0,60.45,0,0,0,0,60.45,0,0,0,0,0,0,0,0,60.45,0,0,0,0,60.45,
3/1/2022,2018,20190264,16681,26125,CALNEV PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEVADA,0,0.62,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0.62,
3/1/2022,2018,20190238,16651,26134,EXXONMOBIL OIL CORP - WEST COAST,Crude Oil,INTRASTATE,CALIFORNIA,0,1.72,0,31.29,0,0,33.01,0,0,0,0,0,0,0,0,1.72,0,31.29,0,0,33.01,
3/1/2022,2018,20190239,16652,26134,EXXONMOBIL OIL CORP - WEST COAST,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0,0,0,9.28,0,0,9.28,0,0,0,0,0,0,0,0,0,0,9.28,0,0,9.28,
3/1/2022,2018,20190668,17145,26136,PARAMOUNT PETROLEUM CORP,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,0,8.72,0,0,0,0,8.72,0,0,0,0,0,0,0,0,8.72,0,0,0,0,8.72,
3/1/2022,2018,20190315,16737,26149,ALYESKA PIPELINE SERVICE CO,Crude Oil,INTERSTATE,ALASKA,0,376,0,424,0,0,800,0,0,0,0,0,0,0,0,376,0,424,0,0,800,
3/1/2022,2018,20190505,16936,26302,MUSTANG PIPELINE CO,HVL,INTRASTATE,TEXAS,0,89.32,0,0,0,0,89.32,0,0,0,0,0,0,0,0,89.32,0,0,0,0,89.32,
