DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2017,20180428,749,15359,BLACK HILLS ENERGY,1572,Black Hills Energy AR LNG Plant,89384,,AR,72315,In Service,1/1/1972,1,2,36,Liquefaction,Intrastate,1,55000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,1/25/2018,1/25/2018
03/01/22,2017,20180427,748,15462,PECO ENERGY CO,1565,West Conshohocken LNG Plant,89396,PECOLNG,PA,19428,In Service,1/1/1972,6,5,313,Liquefaction,Intrastate,1,348000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,1/19/2018,1/19/2018
03/01/22,2017,20180448,773,15469,PHILADELPHIA GAS WORKS,1620,RICHMOND_LNG,89398,36,PA,19134,In Service,1/1/1969,18.5,6,463,Liquefaction,Intrastate,2,1165952,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/19/2018,2/19/2018
03/01/22,2017,20180448,773,15469,PHILADELPHIA GAS WORKS,1621,PASSYUNK_LNG,89397,17,PA,,In Service,11/1/1971,0,2,90,Truck,Intrastate,1,73000,Satellite,,Storage w/o Liquefaction,,INITIAL,2/19/2018,2/19/2018
03/01/22,2017,20180424,915,15480,CONOCOPHILLIPS ALASKA NATURAL GAS CORP.,1934,ConocoPhillips Kenai LNG Facility,,25,AK,99611,In Service,6/1/1969,225,0,0,Liquefaction,Interstate,3,750000,Base Load,,Marine Terminal - Export,,SUPPLEMENTAL,1/4/2018,3/12/2019
03/01/22,2017,20180501,831,15518,PIEDMONT NATURAL GAS CO INC,1693,BENTONVILLE LNG PLANT,88486,,NC,,In Service,1/7/1986,4,3,180,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Both,,INITIAL,3/15/2018,3/15/2018
03/01/22,2017,20180501,831,15518,PIEDMONT NATURAL GAS CO INC,1694,HUNTERSVILLE LNG PLANT,88486,,NC,,In Service,6/30/1973,5,2,200,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Both,,INITIAL,3/15/2018,3/15/2018
03/01/22,2017,20180501,831,15518,PIEDMONT NATURAL GAS CO INC,1695,NASHVILLE  LNG PLANT,88486,101,TN,,In Service,12/18/1973,5,2,150,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Both,,INITIAL,3/15/2018,3/15/2018
03/01/22,2017,20180477,803,15938,PUBLIC SERVICE CO OF NORTH CAROLINA,1691,PSNC ENERGY LNG FACILITY,88488,RS00322,NC,27607,In Service,10/17/1976,3,2,110,Liquefaction,Intrastate,1,290000,Peak Shaving,,Storage w/ Both,,INITIAL,3/8/2018,3/8/2018
03/01/22,2017,20180440,763,15952,PUBLIC SERVICE ELECTRIC & GAS CO,1566,BURLINGTON LNG,89389,9000001,NJ,08016,In Service,10/18/1972,0,1,75,Truck,Intrastate,1,100000,Satellite,,Storage w/o Liquefaction,,INITIAL,2/12/2018,2/12/2018
